
ID	PRODUTO	PRINCIPIOATIVO	QUANTIDADE POR EMBALAGEM	CÓDIGO
1	ACETATO DE RETINOL, AMINOÁCIDOS, METIONINA, CLORANFENICOL POMADA OFTÁLMICA 10.000UI/G + 25MG/G + 5MG/G + 5MG/G	NÃO INFORMADO	0	1
2	ACICLOVIR COMPRIMIDO 200 MG	 	0	2
3	ACICLOVIR CREME DERMATOLÓGICO 50 MG/G	NÃO INFORMADO	0	3
4	ACICLOVIR PÓ LIOFILIZADO 250 MG PARA SOLUÇÃO INJETÁVEL	NÃO INFORMADO	0	4
5	ÁCIDO ACETILSALICÍLICO COMPRIMIDO 100 MG	 	0	5
6	ÁCIDO ACETILSALICÍLICO COMPRIMIDO 500 MG	NÃO INFORMADO	0	6
7	ÁCIDO FÓLICO COMPRIMIDO 5MG	 	0	7
8	ÁCIDO FÓLICO SOLUÇÃO ORAL 0,2 MG/ML	NÃO INFORMADO	0	8
9	ÁCIDO SALICÍLICO POMADA 50 MG/G (5%)	NÃO INFORMADO	0	9
10	ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) CÁPSULA 250 MG	NÃO INFORMADO	0	10
11	ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) COMPRIMIDO REVESTIDO 500 MG	 	0	11
12	ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) XAROPE 50 MG/ML	NÃO INFORMADO	0	12
13	ADENOSINA SOLUÇÃO INJETÁVEL 3 MG/ML	NÃO INFORMADO	0	13
14	ÁGUA PARA INJEÇÃO SOLUÇÃO INJETÁVEL 10 ML	NÃO INFORMADO	0	14
15	ÁGUA PARA INJEÇÃO SOLUÇÃO INJETÁVEL5 ML.	NÃO INFORMADO	0	15
16	ALBENDAZOL COMPRIMIDO MASTIGÁVEL 400 MG	 	0	16
17	ALBENDAZOL SUSPENSÃO ORAL 40 MG/ML.	NÃO INFORMADO	0	17
18	ALCAFTADINA SOLUÇÃO OFTÁLMICA ESTÉRIL DE ALCAFTADINA 2,5 MG/ML	NÃO INFORMADO	0	18
19	ALENDRONATO DE SÓDIO COMPRIMIDO 70 MG	 	0	19
20	ALOPURINOL COMPRIMIDO 100MG	 	0	20
21	ALOPURINOL COMPRIMIDO 300MG	 	0	21
22	AMINOFILINA COMPRIMIDO 100MG	 	0	22
23	AMINOFILINA SOLUÇÃO INJETÁVEL 24MG/ML	NÃO INFORMADO	0	23
24	AMIODARONA CLORIDRATO COMPRIMIDO 200 MG	 	0	24
25	AMIODARONA CLORIDRATO SOLUÇÃO INJETÁVEL 50 MG/ML	NÃO INFORMADO	0	25
26	AMITRIPTILINA, CLORIDRATO COMPRIMIDO 25MG	 	0	26
27	AMITRIPTILINA, CLORIDRATO COMPRIMIDO 75MG	 	0	27
28	AMOXICILINA CAPSULA 500 MG	BENZOCAÍNA	0	28
29	AMOXICILINA PÓ PARA SUSPENSÃO 50 MG/ML	NÃO INFORMADO	0	29
30	AMOXICILINA + CLAVULANATO CÁPSULA 500 MG + 125 MG	 	0	30
31	AMOXICILINA + CLAVULANATO SUSPENSÃO 50MG/ML + 12,5 MG/ML	NÃO INFORMADO	0	31
32	ANLODIPINO COMPRIMIDO 5 MG	 	0	32
33	ANLODIPINO COMPRIMIDO 10MG	 	0	33
34	ATENOLOL COMPRIMIDO 25MG	 	0	34
35	ATENOLOL COMPRIMIDO 50MG	 	0	35
36	ATROPINA SOLUÇÃO INJETÁVEL 0,25 MG/ML	NÃO INFORMADO	0	36
37	AZATIOPRINA COMPRIMIDO 50 MG	NÃO INFORMADO	0	37
38	AZITROMICINA COMPRIMIDO 500 MG	 	0	38
39	AZITROMICINA PÓ PARA SUSPENSÃO ORAL 40 MG/ML	NÃO INFORMADO	0	39
40	BABOSA [ALOE VERA (L.) BURM. F.] CREME	NÃO INFORMADO	0	40
41	BACLOFENO COMPRIMIDO 10 MG	 	0	41
42	BECLOMETASONA DIPROPIONATO AEROSSOL ORAL 50MCG/JATO	NÃO INFORMADO	0	42
43	BECLOMETASONA DIPROPIONATO SUSPENSÃO AQUOSA NASAL 50 MCG/JATO	NÃO INFORMADO	0	43
44	BECLOMETASONA DIPROPIONATO AEROSSOL ORAL 250MCG/JATO	NÃO INFORMADO	0	44
45	BENZILPENICILINA BENZATINA 1.200.000 UI PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	NÃO INFORMADO	0	45
46	BENZILPENICILINA BENZATINA 600.000 UI PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	NÃO INFORMADO	0	46
47	BENZILPENICILINA PROCAÍNA + BENZILPENICILINA POTÁSSICA 400.000 UI PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL	NÃO INFORMADO	0	47
48	BENZOATO DE BENZILA SUSPENSÃO 250 MG/ML	NÃO INFORMADO	0	48
49	BICARBONATO DE SÓDIO SOLUÇÃO INJETÁVEL A 8,4% (84 MG/ML)	NÃO INFORMADO	0	49
50	BIMATOPROSTA SOLUÇÃO OFTÁLMICA ESTÉRIL DE 0,3 MG/ML	NÃO INFORMADO	0	50
51	BIMATOPROSTA + TIMOLOL SOLUÇÃO OFTÁLMICA ESTÉRIL DE 0,3MG/ML BRIMATOPROSTA + 5MG/ML DE MALEATO DE TIMOLOL	NÃO INFORMADO	0	51
52	BIPERIDENO COMPRIMIDO 2 MG	 	0	52
53	BIPERIDENO SOLUÇÃO INJETÁVEL 5 MG/ML	 	0	53
54	BISACODIL DRÁGEA 5 MG	 	0	54
55	BRIMONIDINA SOLUÇÃO OFTÁLMICA ESTÉRIL DE 2,0 MG/ML (0,2%)	NÃO INFORMADO	0	55
56	BRINZOLAMIDA SOLUÇÃO OFTÁLMICA ESTÉRIL DE 10,0 MG/ML	NÃO INFORMADO	0	56
57	BUDESONIDA FRASCO-SPRAY NASAL 32 MCG	NÃO INFORMADO	0	57
58	BUDESONIDA FRASCO-SPRAY NASAL 50 MCG	NÃO INFORMADO	0	58
59	BUPIVACAÍNA SOLUÇÃO ESTÉRIL INJETÁVEL 5MG/ML, SEM VASO CONSTRITOR	NÃO INFORMADO	0	59
60	BUPROPIONA COMPRIMIDO 150MG	 	0	60
61	CAPTOPRIL COMPRIMIDO 25MG	 	0	61
63	CAPTOPRIL 10 MG/ML	NÃO INFORMADO	0	63
64	CAPTOPRIL COMPRIMIDO 50 MG	 	0	64
65	CARBAMAZEPINA COMPRIMIDO 200 MG	 	0	65
66	CARBAMAZEPINA SUSPENSÃO 20 MG/ML	NÃO INFORMADO	0	66
67	CARBEGOLINA COMPRIMIDO 0,5 MG	 	0	67
68	CARBONATO DE CÁLCIO COMPRIMIDO MASTIGÁVEL 1250 MG	 	0	68
69	CARBONATO DE CÁLCIO + COLECALCIFEROL COMPRIMIDO 500 MG DE CÁLCIO + 400 UI	 	0	69
70	CARBONATO DE CÁLCIO + COLECALCIFEROL COMPRIMIDO 600 MG DE CÁLCIO + 400 UI	 	0	70
71	CARVÃO ATIVADO CARVÃO ATIVADO PÓ	 	0	71
73	CARVEDILOL COMPRIMIDO 3,125MG	 	0	73
74	CARVEDILOL COMPRIMIDO 6,25MG	 	0	74
